Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
180530,15.1,070530,8.9,910530,22.3
180531,14.9,080531,8.3,970531,20.9
180601,14.8,090601,9.1,990601,20.5
180602,14.9,080602,9.1,160602,23.8
180603,14.8,080603,9.9,000603,22.0
180604,14.9,030604,9.5,970604,22.1
180605,14.7,040605,8.1,970605,20.7
180606,14.6,900606,9.1,920606,20.4
180607,14.7,040607,9.3,970607,21.0
180608,14.4,040608,7.7,970608,21.2
180609,14.3,140609,7.6,970609,21.3
180610,14.7,990610,8.8,970610,23.5
180611,14.7,140611,8.5,970611,20.7
180612,14.7,990612,8.9,970612,22.6
180613,14.6,060613,8.5,950613,20.8
180614,14.7,020614,7.9,.,21.4
180615,14.6,020615,8.7,900615,20.4
180616,14.6,960616,10.4,970616,21.4
180617,14.6,040617,8.8,970617,23.6
180618,14.6,020618,7.3,970618,21.3
180619,14.3,000619,7.4,970619,20.4
180620,14.3,000620,7.2,970620,21.9
180621,14.1,130621,8.2,150621,20.0
180622,14.3,130622,9.1,970622,20.2
180623,14.4,990623,8.7,000623,20.9
180624,14.1,060624,8.6,970624,20.4
180625,14.4,010625,7.5,930625,19.7
180626,14.5,130626,7.9,170626,22.2
180627,14.1,140627,7.4,980627,19.8
180628,14.3,960628,8.5,990628,20.3
180629,14.2,100629,6.1,930629,19.6
180630,13.9,.,8.2,.,19.4
180701,14.0,960701,8.3,050701,19.7
180702,13.9,960702,7.3,060702,20.4
180703,14.0,960702,8.5,060703,21.4
180704,14.1,890704,7.3,970704,21.1
180705,14.0,890705,7.7,970705,21.7
180706,14.1,120706,7.5,060706,22.7
180707,14.0,940707,6.7,970707,20.0
180708,14.0,940708,8.8,160708,20.8
180709,14.0,960709,8.8,160709,19.8
180710,13.9,000710,8.2,970710,21.4
180711,13.9,000711,7.5,970711,22.6
180712,13.9,000712,7.1,970712,20.0
180713,13.9,000713,8.6,060713,19.9
180714,13.9,990714,8.7,060714,20.4
180715,13.8,920715,8.2,910715,19.5
180716,13.6,090716,7.9,030716,18.9
180717,13.7,050717,7.5,970717,19.6
180718,13.5,.,5.9,060718,20.4
180719,13.7,100719,6.8,060719,20.5
180720,13.8,100720,6.0,060720,20.5
180721,13.9,050721,7.4,010721,20.3
180722,13.8,050722,6.6,020722,19.6
180723,13.6,050723,6.3,910723,19.8
180724,13.6,140724,7.0,970724,19.5
180725,13.7,090725,7.8,890725,19.8
180726,13.8,090726,8.5,970726,19.8
180727,13.7,960727,8.1,970727,20.1
180728,13.6,030728,7.1,970728,20.8
180729,13.7,030729,8.0,970729,20.7
180730,13.9,.,9.2,970730,19.8
180731,13.7,100730,8.7,970731,19.6
180801,13.6,940801,7.0,970801,20.1
180802,13.6,940802,8.3,970802,20.0
180803,13.8,040803,8.3,930803,20.0
180804,13.9,950804,8.6,970804,19.7
180805,14.0,910805,8.6,970805,19.9
180806,14.1,070806,8.9,970806,20.2
180807,14.0,910807,9.4,970807,19.6
180808,14.1,940808,9.2,990808,20.9
