FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140125;0000;29,5;;;
140126;0000;32,8;;;
140127;0000;32,4583;;;
140128;0000;42,2916;;;
140129;0000;39,9166;;;
140130;0000;40,8333;;;
140131;0000;42,5833;;;
140201;0000;36,0833;;;
140202;0000;36,9583;;;
140203;0000;40,2916;;;
140204;0000;32,5;;;
140205;0000;39,625;;;
140206;0000;39;;;
140207;0000;46,875;;;
140208;0000;36,8333;;;
140209;0000;33,5416;;;
140210;0000;36,2083;;;
140211;0000;33,0833;;;
140212;0000;39,125;;;
140213;0000;33,8333;;;
140214;0000;30,625;;;
140215;0000;27,0417;;;
140216;0000;;;545,625;
140217;0000;28,375;;;
140218;0000;33,625;;;
140219;0000;34,4166;;;
140220;0000;30,8333;;;
140221;0000;33,2083;;;
140222;0000;31,0417;;;
140223;0000;27,7083;;;
140224;0000;33;;;
140225;0000;39,3333;;;
140226;0000;35,875;;;
140227;0000;34,6666;;;
140228;0000;34,6666;;;
140301;0000;32,625;;;
140302;0000;36,8333;;;
140303;0000;38,1739;;;
140304;0000;37,0435;;;
140305;0000;33,0416;;;
140306;0000;34,1818;;;
140307;0000;42,7083;;;
140308;0000;43,125;;;
140309;0000;39,25;;;
140310;0000;48,5416;;;
140311;0000;36,95;;;
140312;0000;34,5833;;;
140313;0000;37,8695;;;
140314;0000;28,9583;;;
140315;0000;33,1304;;;
140316;0000;35,125;;;
140317;0000;26,4583;;;
140318;0000;39,4583;;;
140319;0000;38,3333;;;
140320;0000;31,875;;;
140321;0000;36,4166;;;
140322;0000;36,7083;;;
140323;0000;33,875;;;
140324;0000;36,5;;;
140325;0000;35,625;;;
140326;0000;31,3333;;;
140327;0000;29,1304;;;
140328;0000;30,25;;;
140329;0000;29,9167;;;
140330;0000;28,2083;;;
140331;0000;43,0869;;;
140401;0000;51,2083;;;
140402;0000;40,0833;;;
140403;0000;30,2083;;;
140404;0000;27,6667;;;
140405;0000;38,125;;;
140406;0000;38,2083;;;
140407;0000;35,25;;;
140408;0000;42,3333;;;
140409;0000;50,625;;;
140410;0000;43,7083;;;
140411;0000;51,6666;;;
140412;0000;49,9166;;;
140413;0000;50,7083;;;
140414;0000;55,7083;;;
140415;0000;47,3809;;;
140416;0000;52;;;
140417;0000;47;;;
140418;0000;34,0416;;;
140419;0000;34,0416;;;
140420;0000;35,2916;;;
140421;0000;45;;;
140422;0000;49,25;;;
140423;0000;45,8333;;;
140424;0000;50,375;;;
140425;0000;48,25;;;
140426;0000;41,0833;;;
140427;0000;25,75;;;
140428;0000;35,0416;;;
140429;0000;34,4583;;;
140430;0000;45,125;;;
140501;0000;39,0416;;;
140502;0000;41,75;;;
140503;0000;39,875;;;
140504;0000;31,7083;;;
140505;0000;26,3333;;;
140506;0000;;;512,583;
140507;0000;42;;;
140508;0000;55,8333;;;
140509;0000;51,75;;;
140510;0000;48,5;;;
140511;0000;32,1666;;;
140512;0000;38,2083;;;
140513;0000;31,9091;;;
140514;0000;38,6666;;;
140515;0000;41,875;;;
140516;0000;42,125;;;
140517;0000;41,0416;;;
140518;0000;39,4583;;;
140519;0000;54,75;;;
140520;0000;65,1666;;;
140521;0000;41,1666;;;
140522;0000;41,2916;;;
140523;0000;35,75;;;
140524;0000;44,7916;;;
140525;0000;77,3684;;;
140526;0000;59,5;;;
140527;0000;65,0833;;;
140528;0000;56,1666;;;
140529;0000;57,3333;;;
140530;0000;46,4166;;;
140531;0000;55,875;;;
140601;0000;55;;;
140602;0000;53,5833;;;
140603;0000;48,5;;;
140604;0000;51,3333;;;
140605;0000;47,0833;;;
140606;0000;48,4583;;;
140607;0000;39,6666;;;
140608;0000;62,5416;;;
140609;0000;66,0952;;;
140610;0000;63,7083;;;
140611;0000;56,25;;;
140612;0000;51,5;;;
140613;0000;62,625;;;
140614;0000;57,0833;;;
140615;0000;62,0833;;;
140616;0000;59,5416;;;
140617;0000;52,6666;;;
140618;0000;55,5416;;;
140619;0000;56,5;;;
140620;0000;50,375;;;
140621;0000;42,7083;;;
